date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:33:29 +0000 2017',942719462578548000,103538220,b'Yoruba British',b'@wizkidayo Baba they can\xe2\x80\x99t Understand The Spiritual Sumtin Typa \xf0\x9f\x92\x96   @WizkidSource God Bless Wizkid Forever \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/rXSktn6xLI',"{'type': 'Point', 'coordinates': [-0.08945704, 51.55491451]}"
b'Mon Dec 18 11:33:34 +0000 2017',942719482719555000,375773220,b'Geoffrey Myers',b'What are we waiting for ?\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 https://t.co/jrBgrUpo6O',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:34 +0000 2017',942719484535635000,798637629243871000,b'AlNawar AlMaawda',b'sad sad day\xf0\x9f\x92\x94 https://t.co/uZSBrkSnjQ',"{'type': 'Point', 'coordinates': [-0.10049571, 51.49112937]}"
b'Mon Dec 18 11:33:34 +0000 2017',942719485282275000,20236231,b'Nicky Green',b'@DERocksOn https://t.co/dgvL9Ahctl',"{'type': 'Point', 'coordinates': [-0.098438, 51.510173]}"
b'Mon Dec 18 11:33:35 +0000 2017',942719487891013000,228469528,b'Gemma Ireland',b'HYDRATION-We all forget to drink our 1.5ltrs of still filtered water each day as we are opting\xe2\x80\xa6 https://t.co/e5Fp2jP2yH',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:42 +0000 2017',942719516030722000,928561110,b'in london',b'j\xe2\x80\x99ai envie d\xe2\x80\x99un \xc3\xa9norme c\xc3\xa2lin',"{'type': 'Point', 'coordinates': [-0.365927, 51.369487]}"
b'Mon Dec 18 11:33:45 +0000 2017',942719528148062000,18287062,b'Jamie',"b'Last xmas gifts purchased, just need to wrap em all up and then I can forget this horrid, shitty time of year\xe2\x80\xa6\xe2\x80\xa6 https://t.co/Z03ssvE5ye'","{'type': 'Point', 'coordinates': [-0.1503167, 51.50541969]}"
b'Mon Dec 18 11:33:48 +0000 2017',942719542450671000,108401449,b'Tommy Courtney',b'I\xe2\x80\x99ve really been turned by London after last couple of visits.Great buzz about and hard to not feel energized by th\xe2\x80\xa6 https://t.co/jjqpW03yZk',"{'type': 'Point', 'coordinates': [-0.1477, 51.5206]}"
b'Mon Dec 18 11:33:51 +0000 2017',942719553150349000,340170383,b'Alex Bergholz-Gander',b'Hey @Biggreenbooks do you have \xe2\x80\x98A Land of Aching Hearts\xe2\x80\x99 in stock?',"{'type': 'Point', 'coordinates': [0.41143373, 51.69337413]}"
b'Mon Dec 18 11:33:50 +0000 2017',942719552873484000,217873189,b'Asha Tanna',b'Coming into land at Gatwick and England looks glorious basked in sun and so green. https://t.co/g1Ha9sx4fo',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
