date,tweetid,userid,username,text,coordinates
b'Mon Dec 18 14:03:14 +0000 2017',9.42757E+17,2646640069,b'nayeli \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd',"b'No manchen, estoy rezando porque  no se me haya perdido'","{'type': 'Point', 'coordinates': [4.5581225, 52.455927]}"
b'Mon Dec 18 14:03:19 +0000 2017',9.42757E+17,219038925,b'Carla',b'@fidanekiz Wat een fantastisch land hebben we toch he Fidan. Daarom snap ik niet dat het niet gegund wordt aan vluc\xe2\x80\xa6 https://t.co/zHtt7EUc8B',"{'type': 'Point', 'coordinates': [4.90288, 52.38421]}"
b'Mon Dec 18 14:04:01 +0000 2017',9.42757E+17,367755094,b'\xe2\x98\xa0\xef\xb8\x8f',b'Putain j\xe2\x80\x99aurai mieux fait d\xe2\x80\x99me fumer un gros pur avant d\xe2\x80\x99arriver \xc3\xa0 l\xe2\x80\x99a\xc3\xa9roport j\xe2\x80\x99aurai dormi au moins',"{'type': 'Point', 'coordinates': [4.88360852, 52.35891796]}"
b'Mon Dec 18 14:04:01 +0000 2017',9.42757E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b""@TheNeilesh @StuLi313 @Vinnyiow He's late, am I allowed now""","{'type': 'Point', 'coordinates': [4.91833, 52.39111]}"
b'Mon Dec 18 14:04:02 +0000 2017',9.42757E+17,19650718,b'karine hoenderdos',"b'@tijdvooreten @MinVWS @JOGGNL @AiGezondheid Doris, ik dacht al: waar blijf je? :) #jogg'","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:04:09 +0000 2017',9.42757E+17,1166383453,b'Trendinalia NL',b'Trend Alert: #GlazenHuis. More trends at https://t.co/tOVVBU3TJP #trndnl https://t.co/aVPFwQPRL3',"{'type': 'Point', 'coordinates': [4.85613796, 52.35501458]}"
b'Mon Dec 18 14:04:19 +0000 2017',9.42757E+17,237872146,b'\xc5\x82\xe0\xb8\x84c\xce\xb5\xd1\x8fd\xe0\xb8\x84',b'puta q pariu eu to muito malandra hoje obg anitta',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:04:35 +0000 2017',9.42757E+17,2438516939,b'Dani\xf0\x9f\xa5\x80',b'Lucky https://t.co/iZeSz6h1d8',"{'type': 'Point', 'coordinates': [4.81060639, 52.30858814]}"
b'Mon Dec 18 14:04:51 +0000 2017',9.42758E+17,121493492,b'DANNYonPC',b'@Hitman  https://t.co/SJd7tNI0SK',"{'type': 'Point', 'coordinates': [4.88180332, 52.36368899]}"
b'Mon Dec 18 14:05:01 +0000 2017',9.42758E+17,1901380195,b'Mr Downside \xe2\x9b\x84',b'@StuLi313 @TheNeilesh @Vinnyiow Good guy!',"{'type': 'Point', 'coordinates': [4.8951679, 52.3702157]}"
b'Mon Dec 18 14:05:07 +0000 2017',9.42758E+17,100519426,b'Stefan Meijne',b'My view for the upcoming weeks. #circus #christmas #amsterdam #podiumtechniek @ Koninklijk\xe2\x80\xa6 https://t.co/ollIkuNcEg',"{'type': 'Point', 'coordinates': [4.83601182, 52.4489098]}"
b'Mon Dec 18 14:05:19 +0000 2017',9.42758E+17,2362684074,b'R  I  T  U  A  L',"b'Aah don\xe2\x80\x99t be shy! Thank you so much, so happy you enjoyed the show. Hope to see you again in Belgium soon \xf0\x9f\x92\x97 https://t.co/Z7xsNOrdpJ'","{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 14:05:48 +0000 2017',9.42758E+17,7.72809E+17,b'\xd0\x94\xd0\xb8\xd1\x88\xd0\xb0',b'\xd0\xbc\xd0\xb8\xd1\x80 \xd0\xb4\xd1\x80\xd1\x83\xd0\xb6\xd0\xb1\xd0\xb0 \xd0\xbc\xd0\xb0\xd0\xbd\xd0\xb4\xd0\xb0\xd1\x80\xd0\xb8\xd0\xbd\xd0\xba\xd0\xb0\xf0\x9f\x98\x8d',"{'type': 'Point', 'coordinates': [4.83601182, 52.4489098]}"
b'Mon Dec 18 14:05:51 +0000 2017',9.42758E+17,28377532,b'Guto',b'\xe2\x80\x9cYuri tu ta me sarrando\xe2\x80\x9d\nHahahahahhahahaha',"{'type': 'Point', 'coordinates': [4.8886187, 52.3725277]}"
b'Mon Dec 18 14:05:54 +0000 2017',9.42758E+17,121493492,b'DANNYonPC',"b'A @Hitman christmas \n\nhttps://t.co/5mIlfXtFBF\n\n(technically uploaded last year, but whatever, its relevant every ye\xe2\x80\xa6 https://t.co/yQbOWIcuT7'","{'type': 'Point', 'coordinates': [5.06958961, 52.12838719]}"
b'Mon Dec 18 14:06:15 +0000 2017',9.42758E+17,3370838825,b'Pretpark Amsterdam',b'@rohy https://t.co/BtdHr4sQjR',"{'type': 'Point', 'coordinates': [4.9029677, 52.3774647]}"
b'Mon Dec 18 14:07:10 +0000 2017',9.42758E+17,260316346,b'Mike James',b'@jzeferin0 @Apple @ruiespinho @jsuarezruiz @mattleibow @matthewrdev @JamesMontemagno @jamesmcroft @Cheesebaron\xe2\x80\xa6 https://t.co/LMlQcIy6vC',"{'type': 'Point', 'coordinates': [4.9, 52.36667]}"
b'Mon Dec 18 14:07:29 +0000 2017',9.42758E+17,20131584,b'Silvester',b'@TokenInsiders Manipulation by tradingbots',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 14:07:32 +0000 2017',9.42758E+17,121493492,b'DANNYonPC',"b""@SWBFUpdates @A7ZATRU No idea who this is, but ''I hope we can avoid it here.''\n\nHaha nope, not if there is money to be made""","{'type': 'Point', 'coordinates': [4.83670092, 52.38836027]}"
b'Mon Dec 18 14:07:34 +0000 2017',9.42758E+17,550261599,b'infosrv',b'[23:07:33] 178.62.242.200:60907 &gt;&gt; :10000 (TCP:SYN)',"{'type': 'Point', 'coordinates': [4.8880194, 52.3714311]}"
b'Mon Dec 18 14:07:53 +0000 2017',9.42758E+17,3337552589,b'14',b'Kerstdiner #HotelshoolAmsterdam https://t.co/hsM604f8V0',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
